	1639	1423	1280	1613	28901	1680	1351	139	2702	287	562	813	432308	2022747	70584
c752d673-ade4-4c42-9aa1-0cfbf4f52fdc			1.0												
93f6eb85-1d77-4f49-8ec6-e34d00fd8b84			1.0												
823bd127-c3d3-4650-88df-48739d999352			1.0												
375c24d2-1aae-4f94-b272-3a8c8688cb7f			1.0												
704f6e8c-c674-4b2a-873e-eb954dbf52da			1.0												
f2504e09-cb60-4254-acbf-0fbcc317f0cf			1.0												
ce7de28d-de09-45a9-9dbe-a6e721a1679c			1.0												
413b7b65-caaa-4bd2-bee8-2a0b6fe07853			1.0												
88004505-a965-460c-bb10-dd30597db4ba			1.0												
a5bddd2e-c508-4480-a47b-d69cb00774f9			1.0												
0137e8bd-3bbb-44e1-ae09-d56a5dab98ea			1.0												
d0669716-054e-4b5d-9a8d-e73201f0959c			1.0												
e16685eb-d4b8-44e5-8eb5-6b0d1111db73			1.0												
